AlarmName	NodeId	Severity	PlcSymbolPath	Description
TLS_M3_MAL_Alarm_038	ns=2;s=TLS_M3_MAL_Alarm[38]	High	GVL.TLS_M3_MAL_Alarm[38]	ALARM, EMERGENCY STOP or PANIC
TLS_M3_MAL_Alarm_039	ns=2;s=TLS_M3_MAL_Alarm[39]	Medium	GVL.TLS_M3_MAL_Alarm[39]	ALARM, The battery is disabled due to lack of maintenance
TLS_M3_MAL_Alarm_040	ns=2;s=TLS_M3_MAL_Alarm[40]	Medium	GVL.TLS_M3_MAL_Alarm[40]	Recycling system, UV disabled
TLS_M3_MAL_Alarm_041	ns=2;s=TLS_M3_MAL_Alarm[41]	Medium	GVL.TLS_M3_MAL_Alarm[41]	Alarm 041
TLS_M3_MAL_Alarm_042	ns=2;s=TLS_M3_MAL_Alarm[42]	Medium	GVL.TLS_M3_MAL_Alarm[42]	ALARM, Speed sensor, Unknown disconnected or damaged
TLS_M3_MAL_Alarm_043	ns=2;s=TLS_M3_MAL_Alarm[43]	Medium	GVL.TLS_M3_MAL_Alarm[43]	ALARM, Speed sensor, Unknown damaged or disconnected
TLS_M3_MAL_Alarm_044	ns=2;s=TLS_M3_MAL_Alarm[44]	Medium	GVL.TLS_M3_MAL_Alarm[44]	Alarm 044
TLS_M3_MAL_Alarm_045	ns=2;s=TLS_M3_MAL_Alarm[45]	Medium	GVL.TLS_M3_MAL_Alarm[45]	Alarm 045
TLS_M3_MAL_Alarm_046	ns=2;s=TLS_M3_MAL_Alarm[46]	Medium	GVL.TLS_M3_MAL_Alarm[46]	GR05-01 Overload, TPM vertical brush motor
TLS_M3_MAL_Alarm_047	ns=2;s=TLS_M3_MAL_Alarm[47]	Medium	GVL.TLS_M3_MAL_Alarm[47]	Alarm 047
TLS_M3_MAL_Alarm_048	ns=2;s=TLS_M3_MAL_Alarm[48]	Medium	GVL.TLS_M3_MAL_Alarm[48]	Alarm 048
TLS_M3_MAL_Alarm_049	ns=2;s=TLS_M3_MAL_Alarm[49]	Medium	GVL.TLS_M3_MAL_Alarm[49]	GR05-07 Overload, STR horizontal brush motor
TLS_M3_MAL_Alarm_050	ns=2;s=TLS_M3_MAL_Alarm[50]	Medium	GVL.TLS_M3_MAL_Alarm[50]	Alarm 050
